CellType	Metagene
RestingMastcells	ATP8B4
RestingMastcells	BMP2K
RestingMastcells	BPI
RestingMastcells	C3AR1
RestingMastcells	CD33
RestingMastcells	CEACAM8
RestingMastcells	CLC
RestingMastcells	CMA1
RestingMastcells	CPA3
RestingMastcells	CRISP3
RestingMastcells	CTSG
RestingMastcells	FAM124B
RestingMastcells	FAM174B
RestingMastcells	FCER1A
RestingMastcells	GFI1
RestingMastcells	HDC
RestingMastcells	HPGDS
RestingMastcells	IL18R1
RestingMastcells	LTC4S
RestingMastcells	MS4A2
RestingMastcells	MS4A3
RestingMastcells	MYB
RestingMastcells	NOX3
RestingMastcells	NTRK1
RestingMastcells	P2RX1
RestingMastcells	P2RY14
RestingMastcells	PAQR5
RestingMastcells	PRG2
RestingMastcells	RAB27B
RestingMastcells	RGS13
RestingMastcells	SEPT8
RestingMastcells	SLC12A8
RestingMastcells	ST8SIA1
RestingMastcells	STAP1
RestingMastcells	STXBP6
RestingMastcells	TPSAB1
ActivateMastcells	ATP8B4
ActivateMastcells	BPI
ActivateMastcells	CCL1
ActivateMastcells	CCL20
ActivateMastcells	CCL4
ActivateMastcells	CD33
ActivateMastcells	CLC
ActivateMastcells	CMA1
ActivateMastcells	CPA3
ActivateMastcells	CSF2
ActivateMastcells	CTSG
ActivateMastcells	CXCL3
ActivateMastcells	FCER1A
ActivateMastcells	GZMB
ActivateMastcells	HDC
ActivateMastcells	HOXA1
ActivateMastcells	HPGDS
ActivateMastcells	IL18R1
ActivateMastcells	IL1A
ActivateMastcells	IL1B
ActivateMastcells	IL1RL1
ActivateMastcells	IL3
ActivateMastcells	IL5
ActivateMastcells	LINC00597
ActivateMastcells	MARCH3
ActivateMastcells	MS4A2
ActivateMastcells	MS4A3
ActivateMastcells	MYB
ActivateMastcells	NOX3
ActivateMastcells	NTRK1
ActivateMastcells	P2RX1
ActivateMastcells	PRG2
ActivateMastcells	RAB27B
ActivateMastcells	RGS13
ActivateMastcells	SLC12A8
ActivateMastcells	STXBP6
ActivateMastcells	TEC
ActivateMastcells	TPSAB1
Eosinophil	BANK1
Eosinophil	BCL2A1
Eosinophil	BPI
Eosinophil	C3AR1
Eosinophil	C5AR2
Eosinophil	CD244
Eosinophil	CLC
Eosinophil	DACH1
Eosinophil	DAPK2
Eosinophil	DEPDC5
Eosinophil	DPEP2
Eosinophil	EMR1
Eosinophil	EMR2
Eosinophil	EMR3
Eosinophil	EPN2
Eosinophil	FFAR2
Eosinophil	GIPR
Eosinophil	GPR183
Eosinophil	GPR65
Eosinophil	GPR97
Eosinophil	IL18R1
Eosinophil	IL18RAP
Eosinophil	IL1RL1
Eosinophil	IL5RA
Eosinophil	LRMP
Eosinophil	MAK
Eosinophil	MGAM
Eosinophil	MS4A3
Eosinophil	MXD1
Eosinophil	NCF2
Eosinophil	P2RY10
Eosinophil	P2RY13
Eosinophil	P2RY14
Eosinophil	P2RY2
Eosinophil	PADI4
Eosinophil	PDE6C
Eosinophil	PKD2L2
Eosinophil	PLEKHG3
Eosinophil	REPS2
Eosinophil	RGS1
Eosinophil	RGS13
Eosinophil	RNASE2
Eosinophil	RRP12
Eosinophil	SAMSN1
Eosinophil	SMPD3
Eosinophil	SMPDL3B
Eosinophil	ST3GAL6
Eosinophil	TREML2
Eosinophil	TRPM6
Eosinophil	ZNF222
Neutrophil	AIF1
Neutrophil	APOBEC3A
Neutrophil	AQP9
Neutrophil	BTNL8
Neutrophil	C5AR1
Neutrophil	CAMP
Neutrophil	CASP5
Neutrophil	CCR3
Neutrophil	CDA
Neutrophil	CEACAM3
Neutrophil	CFP
Neutrophil	CHI3L1
Neutrophil	CHST15
Neutrophil	CLC
Neutrophil	CREB5
Neutrophil	CSF3R
Neutrophil	CXCR1
Neutrophil	CXCR2
Neutrophil	DPEP2
Neutrophil	EMR2
Neutrophil	EMR3
Neutrophil	FAM212B
Neutrophil	FCGR3B
Neutrophil	FFAR2
Neutrophil	FPR1
Neutrophil	FPR2
Neutrophil	GPR97
Neutrophil	HAL
Neutrophil	HSPA6
Neutrophil	IGSF6
Neutrophil	IL18RAP
Neutrophil	LILRA2
Neutrophil	LILRB2
Neutrophil	LST1
Neutrophil	MAK
Neutrophil	MEFV
Neutrophil	MGAM
Neutrophil	MMP25
Neutrophil	MNDA
Neutrophil	MXD1
Neutrophil	NCF2
Neutrophil	NFE2
Neutrophil	P2RY13
Neutrophil	P2RY14
Neutrophil	PADI4
Neutrophil	PGLYRP1
Neutrophil	PLEKHG3
Neutrophil	QPCT
Neutrophil	REPS2
Neutrophil	S100A12
Neutrophil	STEAP4
Neutrophil	TLR2
Neutrophil	TLR8
Neutrophil	TNFAIP6
Neutrophil	TNFRSF10C
Neutrophil	TREM1
Neutrophil	TREML2
Neutrophil	VNN1
Neutrophil	VNN2
Neutrophil	VNN3


