Celltype	Marker
Myeloid Dendritic Cell	CD209
Myeloid Dendritic Cell	PDCD1LG2
Myeloid Dendritic Cell	NRP1
Myeloid Dendritic Cell	ADGRE1
Myeloid Dendritic Cell	HLA-DRA
Myeloid Dendritic Cell	HLA-DRB1
Myeloid Dendritic Cell	HLA-DRB3
Myeloid Dendritic Cell	HLA-DRB4
Myeloid Dendritic Cell	HLA-DRB5
Myeloid Dendritic Cell	HLA-DMA
Myeloid Dendritic Cell	HLA-DMB
Myeloid Dendritic Cell	HLA-DOA
Myeloid Dendritic Cell	HLA-DOB
Myeloid Dendritic Cell	HLA-DPA1
Myeloid Dendritic Cell	HLA-DPB1
Myeloid Dendritic Cell	HLA-DQA1
Myeloid Dendritic Cell	HLA-DQA2
Myeloid Dendritic Cell	HLA-DQB1
Myeloid Dendritic Cell	HLA-DQB2
Na夫e T Cell	CD3D
Na夫e T Cell	CD3E
Na夫e T Cell	CD3G
Na夫e T Cell	CD4
Na夫e T Cell	PTPRC
Na夫e T Cell	SELL
Na夫e T Cell	CCR7
Neurons	CD6
Neurons	FUT4
Neurons	CD24
Neurons	CD47
Neurons	NCAM1
Neurons	THY1
Neurons	SEMA4D
Neurons	VCAM1
Neurons	NECTIN2
Neurons	PROM1
Neurons	ALCAM
Neurons	SIRPA
Neurons	SIRPB1
Neurons	CD200
Neurons	TSPAN7
Neurons	NGFR
Neurons	NRP1
Neurons	CDH2
Neurons	CX3CR1
Neurons	ACKR3
Neurons	BCL2
Neurons	FOS
Neurons	SRC
Neurons	CX3CL1
Neurons	EPO
Neurons	CSF3
Neurons	IL11
Neurons	MAP2
Neurons	NES
Neurons	NEFH
Neurons	NEFM
Neurons	PAX5
Neurons	PRKCA
Neurons	PRKCB
Neurons	PRKCG
Neurons	PRKCE
Neurons	PRKCD
Neurons	PRKCH
Neurons	PRKCQ
Neurons	PRKCI
Neurons	PRKCZ
Neurons	TGFB1
Neurons	TGFB2
Neurons	TGFB3
Neutrophil	MME
Neutrophil	ITGAM
Neutrophil	ITGAX
Neutrophil	ANPEP
Neutrophil	CD14
Neutrophil	FUT4
Neutrophil	FCGR3A
Neutrophil	FCGR2A
Neutrophil	PECAM1
Neutrophil	CD33
Neutrophil	SELL
Neutrophil	FCGR1A
Neutrophil	CEACAM8
Neutrophil	CD88
Neutrophil	CSF3R
Neutrophil	CXCR1
Neutrophil	CXCR2
Neutrophil	JAML
Neutrophil	TLR2
NK Cell	ITGAM
NK Cell	ITGAX
NK Cell	FCGR3A
NK Cell	FCGR2A
NK Cell	ITGA2
NK Cell	NCAM1
NK Cell	B3GAT1
NK Cell	CD69
NK Cell	KLRD1
NK Cell	IL2RB
NK Cell	KIR3DL1
NK Cell	KLRB1
NK Cell	CD244
NK Cell	KLRK1
NK Cell	SLAMF7
NK Cell	SIGLEC7
NK Cell	NCR1
NK Cell	KLRA1P
NK Cell	SLAMF6
NK Cell	GNLY
NK Cell	GZMB
NK Cell	PRF1
Plasmacytoid Dendritic Cell	CD1A
Plasmacytoid Dendritic Cell	CD1B
Plasmacytoid Dendritic Cell	CD1C
Plasmacytoid Dendritic Cell	CD4
Plasmacytoid Dendritic Cell	CD8A
Plasmacytoid Dendritic Cell	CD8B
Plasmacytoid Dendritic Cell	ITGAM
Plasmacytoid Dendritic Cell	ITGAX
Plasmacytoid Dendritic Cell	CD40
Plasmacytoid Dendritic Cell	PTPRC
Plasmacytoid Dendritic Cell	ITGA4
Plasmacytoid Dendritic Cell	CD80
Plasmacytoid Dendritic Cell	CD83
Plasmacytoid Dendritic Cell	LILRA4
Plasmacytoid Dendritic Cell	CD86
Plasmacytoid Dendritic Cell	IL3RA
Plasmacytoid Dendritic Cell	CCR7
Plasmacytoid Dendritic Cell	PDCD1LG2
Plasmacytoid Dendritic Cell	CLEC4C
Plasmacytoid Dendritic Cell	NRP1
Plasmacytoid Dendritic Cell	ADGRE1
Plasmacytoid Dendritic Cell	HLA-DRA
Plasmacytoid Dendritic Cell	HLA-DRB1
Plasmacytoid Dendritic Cell	HLA-DRB3
Plasmacytoid Dendritic Cell	HLA-DRB4
Plasmacytoid Dendritic Cell	HLA-DRB5
Plasmacytoid Dendritic Cell	HLA-DMA
Plasmacytoid Dendritic Cell	HLA-DMB
Plasmacytoid Dendritic Cell	HLA-DOA
Plasmacytoid Dendritic Cell	HLA-DOB
Plasmacytoid Dendritic Cell	HLA-DPA1
Plasmacytoid Dendritic Cell	HLA-DPB1
Plasmacytoid Dendritic Cell	HLA-DQA1
Plasmacytoid Dendritic Cell	HLA-DQA2
Plasmacytoid Dendritic Cell	HLA-DQB1
Plasmacytoid Dendritic Cell	HLA-DQB2
Platelets	CD9
Platelets	ITGB1
Platelets	PECAM1
Platelets	FCGR2A
Platelets	FCGR2B
Platelets	FCGR2C
Platelets	CD36
Platelets	ITGA2B
Platelets	GP1BA
Platelets	SPN
Platelets	CD46
Platelets	CD47
Platelets	CD48
Platelets	ITGA2
Platelets	ITGA6
Platelets	ITGAV
Platelets	ITGB3
Platelets	SELP
Platelets	CD63
Platelets	CD69
Platelets	CD84
Platelets	ICAM2
Platelets	CD109
Platelets	CSF3R
Platelets	BSG
Platelets	CD151
Platelets	CCR3
Platelets	CD226
Platelets	TNFSF14
Platelets	JAM3
Platelets	FCER1A
Platelets	VPS51
Platelets	VPS52
Platelets	VPS53
Platelets	VPS54
Platelets	SRC
Platelets	LAMP2
Platelets	LYN
Platelets	PDGFA
Platelets	PDGFB
Platelets	CCL5
Platelets	VEGFA
Stromal Cells	MME
Stromal Cells	ITGB1
Stromal Cells	PECAM1
Stromal Cells	ITGA4
Stromal Cells	ICAM3
Stromal Cells	ITGAV
Stromal Cells	ITGB3
Stromal Cells	ICAM1
Stromal Cells	THY1
Stromal Cells	ICAM2
Stromal Cells	VCAM1
Stromal Cells	KIT
Stromal Cells	PDGFRA
Stromal Cells	PDGFRB
Stromal Cells	MADCAM1
Stromal Cells	PDPN
Stromal Cells	TLR1
Stromal Cells	TLR2
Stromal Cells	TLR4
Stromal Cells	MMP1
Stromal Cells	MMP2
Stromal Cells	MMP9
Stromal Cells	TIMP1
Stromal Cells	TIMP2
Stromal Cells	TLR3
T Follicular Helper	CD3D
T Follicular Helper	CD3E
T Follicular Helper	CD3G
T Follicular Helper	CD4
T Follicular Helper	CD84
T Follicular Helper	IL6R
T Follicular Helper	SLAMF1
T Follicular Helper	CD40LG
T Follicular Helper	CXCR5
T Follicular Helper	TNFSF4
T Follicular Helper	ICOS
T Follicular Helper	PDCD1
T Follicular Helper	TRAC
T Follicular Helper	TRA
T Follicular Helper	TRB
T Follicular Helper	BCL6
T Follicular Helper	STAT3
Th1	CD4
Th1	DPP4
Th1	KLRD1
Th1	IFNGR1
Th1	CXCR3
Th1	CCR1
Th1	CCR5
Th1	TNFSF11
Th1	HAVCR2
Th1	IL18R1
Th1	LTBR
Th1	TNF
Th1	LTA
Th1	CSF2
Th1	IFNG
Th1	IL2
Th1	TBX21
Th2	CCR8
Th2	CD4
Th2	CXCR4
Th2	CCR3
Th2	CCR4
Th2	CCR7
Th2	ICOS
Th2	PTGDR2
Th2	HAVCR1
Th2	IL1R1
Th2	IL1R2
Th2	MAF
Th2	GATA3
Th2	CSF2
Th2	IL4
Th2	IL5
Th2	IL6
Th2	IL10
Th2	IL13
Th9	CD3D
Th9	CD3E
Th9	CD3G
Th9	CD4
Th9	TRAC
Th9	TRA
Th9	TRB
Th9	GATA3
Th9	IRF4
Th9	STAT6
Th17	CD3D
Th17	CD3E
Th17	CD3G
Th17	CD4
Th17	CD38
Th17	KLRB1
Th17	CCR4
Th17	CCR6
Th17	IL1R1
Th17	IL1R2
Th17	TGFB1
Th17	TGFB2
Th17	TGFB3
Th17	IL17A
Th17	IL17F
Th17	IL21
Th17	IL22
Th17	RORA
Th17	RORC
Th17	STAT3
Th22	CCR10
Th22	CD3D
Th22	CD3E
Th22	CD3G
Th22	CD4
Th22	CCR4
Th22	CCR6
Th22	TRAC
Th22	TRA
Th22	TRB
Th22	AHR
Treg	CD4
Treg	IL2RA
Treg	ENTPD1
Treg	SELL
Treg	NT5E
Treg	ITGAE
Treg	TNFRSF4
Treg	CTLA4
Treg	CCR4
Treg	LAG3
Treg	IZUMO1R
Treg	VPS51
Treg	VPS52
Treg	VPS53
Treg	VPS54
Treg	TNFRSF18
Treg	TGFB1
Treg	TGFB2
Treg	TGFB3
Treg	FOXP3
Treg	IKZF2
